wavelength,ew,id
1,80,CH
3373.653,39,Cr I
3492.975,826,N I
3493.174,21,V I
3493.291,47,Fe I
3493.582,28,Fe I
3493.695,53,Fe I
3493.865,21,Fe I
3494.169,53,Fe I
3494.262,7,Fe I
3494.515,46,Cr I
3494.676,94,Fe I
3494.732,14,N I
3495.039,6.5,Cr I
3495.245,116,Fe I
3495.383,61,Cr I
3495.519,30,Cr I
3495.663,138,Co I
3495.835,141,Mn I
3496.085,48,Y I
3496.209,96,Fe I
3496.352,64,N I
3496.582,49,Fe I
3496.681,101,Co I
3496.813,77,Mn I
3497.282,8.5,Co I
3497.529,59,Mn I
3497.843,726,Fe I
3498.183,49,Fe I
3498.749,42,Fe I
3498.945,31,Ru I
3499.109,31,T I
3499.269,21,Fe I
3499.572,26,Zr I
3500.157,39,Fe I
3500.335,90,T I
3500.567,86,Fe I
3500.857,163,N I
3501.333,10,Zr I
3501.466,12,Ce I
3501.729,84,Co I
3501.965,18,Mo I
3502.291,111,Co I
3502.598,111,N I
3502.862,28,Fe I
3503.473,50,Fe I
3503.727,22,Co I
3504.442,65,V I
3505.063,94,Fe I
3505.149,7,Co I
3505.232,24,Hf I
3505.489,51,Zr I
3505.671,53,Zr I
3505.899,38,T I
3506.05,28,Zr I
3506.241,45,Fe I
3506.328,140,Co I
3506.506,132,Fe I
3506.841,46,Dy I
3507.308,10,Rh I
3507.404,50,Fe I
3507.548,13,V I
3507.698,80,N I
3507.818,17,Co I
3508.095,11,Cr I
3508.211,48,Fe I
3508.487,105,Fe I
3509.018,14,V I
3509.125,69,Fe I
3509.331,18,Zr I
3509.731,41,Fe I
3509.853,105,Co I
3510.192,22,Fe I
3510.327,489,N I
3510.457,25,Fe I
3510.685,33,Fe I
3510.846,87,T I
3511.217,11,Sm I
3511.537,16,Zr I
3511.624,31,N I
3511.744,41,Fe I
3511.839,90,Cr I
3511.927,27,Ni I
3512.089,71,Fe I
3512.23,70,Fe I
3512.5,9,Gd I
3512.646,132,Co I
3512.73,27,Fe I
3512.811,24,Fe I
3512.96,50,Fe I
3513.06,97,Cr I
3513.483,98,Co I
3513.604,20,Fe I
3513.825,307,Fe I
3514.242,10,Co I
3514.468,47,Fe I
3514.635,56,Fe I
3515.066,718,N I
3515.409,18,Fe I
3515.535,17,Fe I
3515.807,3,Fe I
3516.016,7,V I
3516.219,55,N I
3517.033,16,Ni I
3517.306,79,V I
3517.383,10,Ce I
3517.513,16,Co I
3518.22,15,Fe I
3518.348,93,Co I
3518.685,96,Fe I
3518.874,67,Fe I
3519.099,18,Ce I
3519.505,3.5,Fe I
3519.618,7.5,Zr I
3519.764,171,N I
3520.088,114,Co I
3520.257,75,T I
3520.535,13,Ce I
3520.851,47,Fe I
3521.27,381,Fe I
3521.546,109,Co I
3521.748,18,Co I
3521.844,72,V I
3522.044,6.5,Fe I
3522.272,61,Fe I
3522.834,20,Co I
3522.908,58,Fe I
3523.072,43,N I
3523.312,55,Fe I
3523.444,96,N I
3523.71,21,Co I
3523.99,4,Dy I
3524.081,63,Fe I
3524.244,100,Fe I
3524.536,1271,N I
3524.742,39,V I
3525.845,75,Zr I
3526.042,84,Fe I
3526.17,422,Fe I
3526.257,23,Fe I
3526.385,108,Fe I
3526.484,67,Fe I
3526.545,23,N I
3526.68,82,Fe I
3526.847,209,Co I
3527.111,18,Cr I
3527.447,8.5,Zr I
3527.531,18,Nd I
3527.795,107,Fe I
3527.992,87,N I
3528.241,49,Fe I
3528.324,12,Fe I
3528.574,7,Os I
3528.894,49,N I
3529.04,76,Co I
3529.521,68,Fe I
3529.627,25,N I
3529.731,46,V I
3529.823,148,Fe I
3529.994,20,Zr I
3530.232,14,Zr I
3530.391,92,Fe I
3530.592,34,N I
3530.777,75,V I
3530.965,23,Fe I
3531.105,4.5,Cr I
3531.44,60,Fe I
3531.709,45,Dy I
3531.84,68,Mn I
3532.001,81,Mn I
3532.12,101,Mn I
3532.579,76,Fe I
3532.635,50,Fe I
3532.899,12,Cr I
3533.014,97,Fe I
3533.203,223,Fe I
3533.364,72,Co I
3533.694,21,I V
