wav,strength,id
1.0,,(Fe)
20.0,,
20.0,,
20.0,,
20.0,,
23.0,,
3769.74,-3,
7315.886,1,Atm
7316.41,-3,©
7316.57,-3,Atm?
7316.739,1,Fe p
7316.858,2,Atm
7317.291,7,Atm
7317.43,-1,Fe p
7318.09,4d?,Atm
7318.382,3,Atm
7318.692,9,Atm
7319.15,-3,Atm
7319.32,-3,Atm?
7319.51,-3,Atm?
7320.689,4,Fe
7320.846,4,Atm
7321.52,-3nl,Atm?
7322.201,-2,Atm
7323.1,-3,
7323.354,-3N,Felp
7323.972,4,Atm ©
7324.29,-3Nd?,of
7324.68,0,o
7325.28,-3,Fe p
7325.56,-3,07
7325.99,-3,o
7326.16,8,Ca
7326.456,ON,Mn
7326.713,-2,Atm
7327.104,2,Atm
7327.37,3,Atm
7327.65,-2,N1
7328.25,0,Atm
7328.828,-3,©
7329.25,Onl,o
7330.15,o,Fe p
7330.34,-3,of
7330.859,9d,Atm
7331.04,,T1
7331.44,,V?
7332.28,,T1
7332.49,-3,07
7332.74,-3,Atm?
7332.905,1,Atm
7333.049,a,Atm
7333.58,1,Fe
7333.684,5,Atm
7333.88,-3,Atm
7334.25,-3,of
7334.62,-3,FeII
7334.91,-3,of
7335.335,4,Atm
7335.712,-2,Atm
7336.02,-3N,07
7336.38,-3,07
7337.043,-1,©
7337.78,,T1 p
7338.07,-3N,07
7338.94,,V
7339.34,-2N,Atm
7339.67,-3,07
7339.9,-3,07
7340.188,-1,o Atm-
7340.6,-3,of
7340.83,-3,Fe p
7341.351,0,Atm
7341.78,-3,Fe p
7342.317,-3,of
7343.226,-2N,©
7343.63,-3,Atm?
7343.939,3d,Atm
7344.2,-1,Fe p-
7344.46,-3,07
7344.759,4d,T1-
7345.21,-3N,of
7345.42,-3N,07
7346.11,-3N,Atm?
7346.56,-3N,
7346.87,-3,Fe p
7347.15,-3,Fe p
7347.309,0,Atm
7348.047,1,Atm
7348.214,0,Atm
7348.51,-2N,Fe p
7348.76,-3,Atm
7349.249,2,Atm
7349.493,3,Atm
7350.088,a,Atm
7350.49,-3NN,Fe p
7351.113,2,Fe
7351.519,3,Fe
7352.14,-3,T1
7352.791,-2N,o
7353.03,-3,
7353.213,-2,Atm
7353.379,-3,©
7353.507,1,Fe
7353.923,0,Atm 07
7354.606,0,Atm
7355.108,-3N,©
7355.457,0,Atm
7355.891,5,Cr
7356.262,2,Atm?
7356.4,-1,-V
7356.76,-3,Fe
7357.097,3,Ti?p
7357.739,1,T1
7358.26,-3,0?
7358.856,1,Atm?
7494.74,-3,Fe p
7495.077,8,Fe
7495.5,-3,0?
7495.66,-3,Fe p
7496.12,-2,T1
7497.44,-3N,0?
7498.22,-3,Atm?
7498.535,1,Fe
7498.78,-3,0?
7499.18,-3N,0?
7500.242,-2N,o
7500.55,-3,0?
7500.94,-3,Atm?
7501.28,-2,Fe p
7501.76,-3N,N1?
7502.78,-3N,©
7503.31,-3N,o
7503.94,-3,o
7504.276,-2,©
7504.61,-3,Atm?
7504.94,-2N,o
7505.19,-3,0?
7506.03,1,Fe p
7506.73,-3N,Atm?
7507.273,4,Fe
7508.6,-3N,Fe p
7509.46,-3N,Atm?
7511.031,11,Fe
7511.51,-3,0?
7511.8,-3,0?
7512.166,-2,Fe p
7512.77,-3,0?
7513.16,-3,0?
7513.76,-3,Atm?
7514.205,0,©
7514.54,-3,Atm?
7515.1,-3N,0?
7515.43,-3N,0?
7515.6,-3,Atm?
7515.837,0,FeII
7516.21,-3,0?
7516.623,-3,0?
7516.82,-2N,0?
7517.27,-3,Atm?
7517.83,-3N,Atm?
7518.66,-3N,0?
7519.89,-3N,Fe
7521.06,-2N,N1
7521.58,-3N,0?
7522.19,-3,Atm?
7522.778,5,N1
7523.217,-1,o
7523.54,-3,Atm?
7523.93,-3,07
7524.17,-3,Atm?
7524.75,-3,Atm?
7525.118,4,N1
7525.5,-3d?,Atm?
7562.62,-3,07
7563.016,1,Fe
7563.66,-3,of
7563.91,-3N,Atm?
7564.498,-3N,©
7565.21,-3N,0?
7565.534,-2NN,o
7566.34,-3N,of
7567.17,2NN,o
7567.61,-3,o
7568.6,-3,of
7568.906,5,Fe
7569.556,-1,©
7569.88,-2,of
7570.22,-3,of
7570.79,-3d?,of
7571.4,-3,of
7572.38,-3,of
7573.18,-3,
7573.426,0,Fe?
7573.72,-3,Fe P
7574.048,5,N1
7574.36,-3,of
7574.58,-3N,of
7574.88,-3N,oT
7575.39,-3N,©
7576.22,-3,Atm
7577.3,,o
7578.47,-2,Atm
7578.787,-2N,©
7579.08,,©
7580.38,,T17
7582.12,0,Fe p
7582.7,-3,Atm?
7583.12,-3N,of
7583.33,-3,Atm?
7583.48,-3,of
7583.796,4,Fe
7584.29,-3,of
7584.77,-3,Atm?
7586.0278,8,Fe
7586.52,-3,of
7586.92,-3N,Atm?
7588.31,1,Fe p
7588.849,-1,©
7590.18,-2N,©
7590.76,-3,Atm
7591.32,-2N,©
7591.9,-3,Atm?
7593.695,10,Atm O₂
7593.85,2,Atm O₂
7593.997,10,Atm O₂
7594.287,1,Atm O₂
7594.507,12,Atm O₂
7594.974,6,Atm O₂
7595.235,14,Atm O₂
7595.59,1,Atm O₂
7595.7708,12,Atm O₂
7596.228,15,Atm O₂
7596.503,12,Atm O₂
7596.768,-3,Atm O₂
7596.975,-4,Atm O₂
7597.438,30,Atm O₂
7598.006,1,Atm O₂
7598.65,50,Atm O₂ (
7598.847,,Atm O₂
7599.228,0,Atm O₂
7599.462,0,Atm O₂
7599.55,-4,Atm O₂
7600.066,25,Atm O₂
7600.493,25,Atm O₂
7601.127,0,Atm O₂
7601.24,-4,Atm O₃
7601.47,0,Atm O₂
7601.697,25,Atm O₂
7602.036,0,Atm O₂
7602.363,32,Atm O₂
7602.995,0,Atm O₂
7603.216,0,Atm O₂
7603.556,30,Atm O₂
7604.013,0,Atm O₂
7604.453,34,Atm O₂
7605.076,0,Atm O₂
7605.186,0,Atm O₂
7605.635,31,Atm O₂
7606.198,1,Atm O₂
7606.238,1,Atm O₂
7606.767,33,Atm O₂
7607.366,2,Atm O₂
7607.933,30,Atm O₂
7608.53,2,Atm O₂
7608.586,2,Atm O₂
7608.82,-4,Atm O₂
7608.91,-4,Atm O₂
7609.302,30,Atm O₂
7609.746,1,Atm O₂
7609.868,1,Atm O₂
7610.06,-4,Atm O₂
7610.455,25,Atm O₂
7611.007,0,Atm O₂
7611.1948,0,Atm O₂
7611.364,-4,Atm O₂
7611.584,-4,Atm O₃
7612.06,25,Atm 0₂
7612.314,0,Atm O₂
7612.578,-1,Atm O₂
7612.745,-4,Atm O₂
7613.194,20,Atm O₂
7613.705,-1,Atm O₂
7614.026,-1,Atm O₂
7614.15,-4,Atm O₂
7614.516,-2N,T1
7615.061,20,Atm O₂
7615.552,-2,Atm O₂
7616.146,17,Atm O₂
7616.98,8,N1
7617.245,-1,Fe p
7617.985,-1,Fe p
7619.214,4,N1
7619.698,0,Atm O₂
7620.077,0,Atm O₂
7620.322,-4,Atm O₂
7620.513,5,Fe
7620.996,20,Atm O₂
7621.323,0,Atm O₂
7621.8028,0,Atm O₂
7621.988,-4,Atm O₂
7622.29,-3,©
7622.503,-4,Atm O₂
7623.012,0,Atm O₂
7623.288,30,Atm O₂
7623.552,0,Atm O₂
7623.715,-4,Atm O₂
7624.5,32,Atm O₂
7625.354,1,Atm O₂
7625.475,-4,Atm O₂
7626.157,-3,Atm O₂
7626.524,1,Atm O₂
7627.054,32,Atm O₂
7628.225,35,Atm O₂
7629.092,2,Atm O₂
7629.196,-3,Atm 0₂
7629.988,-3,Atm O₂
7630.245,2,Atm O₂
7631.016,35,Atm O₂
7632.168,38,Atm O₂
7633.036,3,Atm O₂
7633.131,-4,Atm O₂
7634.052,-4,Atm O₂
7634.17,3,Atm O₂
7635.192,35,Atm O₂
7636.328,38,Atm O₂
7637.183,3,Atm O₂
7637.276,-4,Atm O₂
7638.306,3,Atm O₂
7639.339,3,Atm O₂
7639.585,32,Atm O₂
7640.457,3,Atm O₂
7640.707,35,Atm O₂
7641.535,2,Atm 03
7641.644,-4,Atm O₂
7642.651,a,Atm O₂
7642.786,-4,Atm O₂
7643.793,1,Atm O₂
7644.2,30,Atm O₂
7644.9,1,Atm O₂
7645.312,32,Atm O₂
7646.098,1,Atm O₂
7646.209,-3,Atm O₂
7647.2025,1,Atm O₂
7647.46,-3,Atm O₂
7647.84,-3NN,Fe p
7648.12,-3,
7648.454,0,Atm O₂
7648.58,-4,Atm 02
7649.035,20,Atm O₂
7649.5538,-1,Atm O₂
7650.0,2,Fe p
7650.135,22,Atm O₂
7650.894,-1,Atm O₂
7651.5,-3,o
7651.9638,0,Atm O₂
7652.383,-4,Atm O₂
7653.343,-1,Atm O₂
7653.47,-4,Atm O₂
7653.757,2,Fe
7654.094,16,Atm O₂
7654.428,-1,Atm O₂
7655.182,16,Atm O₂
7655.48,-1N,FeII
7655.847,-3,Atm O₂
7656.0,-4,Atm O₂
7656.53,-3,©
7656.94,-3,Atm O₂
7657.26,-3,N1
7657.6068,9N,Mg
7658.03,-3,
7658.42,-2,Atm O₂
7658.6,-4,Atm O₂
7659.148,-1N,o
7659.37,12,Atm O₂
7659.91,3,o
7660.454,12,Atm O₂
7661.05,-3,Atm O₂
7661.198,6,Fe
7661.48,-3,Fe p
7662.122,-3,Atm O₂
7662.84,-4,Atm O₂
7663.32,-3,of
7663.726,-4,Atm 0₂
7663.9,-4,Atm O₂
7664.18,-3,Fe p
7664.294,7,Fe
7664.872,12,K
7665.9448,10,Atm O₂
7666.44,-4,Atm O₂
7666.669,-4,Atm O₂
7667.518,-4,Atm O₂
7668.399,-4,Atm O₂
7669.233,-4,Atm O₂
7669.47,-4,Atm O₂
7669.668,2,o
7670.31,-4,Atm O₂
7670.6,10,Atm O₂
7671.669,10,Atm O₂
7672.09,-4,Atm O₂
7672.32,-4,Atm O₂
7673.127,-4,Atm O₂
7674.183,-4,Atm O₂
7674.962,-4,Atm O₂
7852.71,-3N,T1 p
7853.51,-2ns,Atm
7854.02,-2,Atm
7854.692,-1,Atm
7855.16,-2,N1
7855.405,1,Fe
7855.822,-2,
7858.3,-3,Atm?
7858.97,-3,Atm?
7860.76,-2,© Atm
7861.045,-1,N1
7861.32,-2,Atm
7862.38,-3,Atm?
7863.193,o,Atm
7863.799,o,N1
7864.437,2,Atm
7865.71,-2,Atm
7866.08,3,Atm
7866.32,-3,Atm
7866.71,-2,Atm
7868.09,-3,Atm
7869.635,1,Fe
7869.94,1,Zr
7870.5,o,Atm
7872.79,2,Atm
7873.34,-3,CN
7873.96,-3,CN
7874.84,-3,CN
7875.32,2,Atm
7876.114,1,Atm
7876.57,6,Atm
7876.705,-2,Atm
7877.059,o,MgII
7877.53,ON,©
7878.89,-3N,CN
7879.78,-1,Fe
7879.86,1,Atm
7880.14,-3,Atm?
7880.699,3,Atm
7880.847,-2,CN
7881.67,O ),©
7881.92,2,Atm
7882.3,-3,of
7882.84,-3,CN
7884.44,-3,oT
7885.014,1,Atm
7885.72,-2,Atm?
7886.202,-1,Atm
7886.802,o,Atm
7887.117,3,Atm
7887.78,-3,CN
7888.85,-3N,Atm?
7889.339,a,Atm
7890.12,-1N,N1
7890.42,-1N,o
7890.99,-2,Atm?
7891.144,1,Atm
7891.898,4,Atm
7893.5128,4,Atm
7893.62,-3,CN
7894.15,-3N,CN
7894.849,o,Atm
7895.13,-2,CN
7895.515,3,Atm
7896.035,5,Atm
7896.378,-1,MgII
7896.66,-3,©
7897.06,-3,CN
7898.03,-3,o
7898.38,-3,Siip
7899.53,-3,Atm
7899.86,-3,CN
7900.797,3,Atm
7901.16,-3,Atm
7901.78,9,Atm
7902.88,-1,Atm
7903.16,o,©
7903.794,-1,Atm
7904.18,-3,Fe p
7904.53,-3,©
7905.6,-3,CN
7906.33,-3,Atm?
7906.8,-3,©
7907.19,-2,Atm
7907.46,-2,Atm
7908.14,-3N,Cr
7908.75,8,Atm
7909.05,-3,
7909.37,1N,Atm
7909.61,-3,CN
7910.664,2,Atm
7911.31,-3,Atm
7912.004,-2,o
7912.384,-1,S1
7912.87,2,Fe
7913.438,-1,S1
7913.8,-3,CN
7915.35,-3,©
7915.6348,3,Atm
7916.1,-3,Atm
7916.32,-3,of
7916.532,-1,Atm
7916.79,-2,of
7917.428,2,N1
7917.561,o,Atm
7917.78,-3,Cr
7918.383,4,Si
7920.03,-3,CN
7920.24,-3,CN
7920.666,7,Atm
7922.98,-2NN,-CN
7923.81,-3N,ST
7924.169,-1,Fe p
7924.348,4,Atm
7925.3,-3d?,Atm?
7925.82,-1,
7926.29,-3,T1
7926.54,-3,o
7927.14,-3N,o
7927.928,-2,CN
7928.24,-3,Atm
7928.6185,7,Atm
7929.2,-3,Atm?
7929.339,a,Atm
7929.81,-3,CN
7929.939,-1,Atm
7930.28,-3N,GAIIT-
7930.819,3N,Mg p
7931.772,a,Atm
7932.351,8N,S1
7933.12,1,Cu
7933.48,-2,CN
7934.11,-3N,07
7934.99,-3N,o
7936.39,-3N,©
7937.15,7,Fe
7937.65,-3,CN
7938.05,-3,o
7938.61,-2,T1 p
7938.96,-3,Atm
7939.23,-2,CN
7939.68,-3,Atm?
7941.096,2,Fe
7941.79,1N,Atm-
7942.0,-2,Cr
7942.74,-1,Atm
7943.28,-2,o
7944.001,8N,S1
7944.38,-3,CN
7945.37,-3,o
7945.8588,7,Fe
7946.744,o,Atm
7947.63,,Rb
7947.726,a,Atm
7948.78,-2,CN
7949.149,-2,T1
7950.42,-3,CN
7950.889,1,Atm
7951.176,1,Atm
7951.73,-a,CN
7953.07,-3N,Atm?
7953.39,-3,oT
7953.64,-a,Atm?
7953.84,1ns,oT
7954.12,-3,of
7954.57,-2 ),CN
7954.97,-1N,Fe p
7955.71,1,Fe
7956.19,1,Atm
7956.71,-1,Zr
7957.01,-2,CN
7957.77,-3,Atm
7958.21,-3,CN
7958.4928,7,Atm
7958.76,-3,
7959.148,1,Fe
7959.7,-3,o
7960.27,1,Atm
7960.734,5,Atm
7961.604,3,Atm
7962.606,-2,CN
7962.861,-3d,Atm
7963.132,8N,Atm oT
7964.349,2,Atm
7964.97,3,Atm
7965.55,-3,Fe P
7966.43,-2,Atm
7967.1,-2,CN
7967.7,-3,Atm?
7968.121,4,Atm
7968.473,-1,CN
7968.765,-1,Atm
7969.36,-3N,Atm?
7970.11,-1 ),CN
7970.3,3N,S1
7970.81,-3,©
7971.5223,4,Atm
7971.86,-3,Atm ©
7972.15,-2,©
7973.79,-3,CN
7974.136,o,Atm
7974.69,-2,CN
7975.002,o,Atm
7975.58,-2N,o
7976.3,-2,07
7976.586,-1,Atm
7977.215,-2,CN
7977.995,-1,Atm
7978.56,-3,CN?
7978.834,o,T1
7979.81,-3N,CN
7980.008,O,Atm
7980.452,o,Atm
7980.79,-3,o
7981.15,-3,CN
7981.54,-3,of
7981.84,-3,Atm
7982.87,-3,Atm
7983.65,-3,Atm
7984.0,-3,Atm
7984.342,4,Atm
7984.615,-3,CN
7985.17,-3,0?
7985.75,-3N,Atm?
7986.264,2,Atm
7986.53,-3,0?
7987.24,-1N,o
7987.391,-1,Atm
7987.97,-2,CN
7988.113,1,Atm
7990.729,1,Atm
7990.9,o,Atm?
7991.52,-3,Atm?
7991.71,-2,0?
7992.322,-1,CN
7993.048,-2N,Al
7993.43,-3,0?
7993.86,-1,o
7993.969,-1,o
7994.488,3,Fe
7995.019,-1,S1 p
7995.63,-1,CN
7995.809,-2,©
7996.485,-1,T1
7996.8,-3,Co?
