wav,strength,id
7022.957,1,Fe I
7034.91,1,Si I
7065.2,1,He I
7068.423,1,Fe I
7090.39,1,Fe I
7122.206,1,Ni I
7130.925,1,Fe I
7148.15,1,Ca I
7164.432,1,Fe I
7165.578,1,Si I
7187.388,1,Fe I
7202.208,1,Ca I
7207.396,1,Fe I
7281.35,1,He I
7289.188,1,Si I
7317.43,-1,Fe I
7320.689,4,Fe I
7323.354,-3N,Fe I
7325.28,-3,Fe I
7326.16,8,Ca I
7326.456,ON,Mn I
7327.65,-2,N I
7330.15,o,Fe I
7331.04,1,Ti I
7332.28,1,Ti I
7334.62,-3,Fe II
7337.78,1,Ti I
7338.94,1,V I
7340.83,-3,Fe I
7341.78,-3,Fe I
7344.2,-1,Fe I
7344.759,4d,Ti I
7346.87,-3,Fe I
7348.51,-2N,Fe I
7350.49,-3NN,Fe I
7351.113,2,Fe I
7351.519,3,Fe I
7352.14,-3,Ti I
7353.507,1,Fe I
7355.891,5,Cr I
7356.76,-3,Fe I
7357.739,1,Ti I
7359.983,-3,Fe I
7361.55,1,Al I
7362.291,1,Al I
7363.916,0,Fe I
7366.367,0,Fe I
7373.011,2N,S I
7376.494,a,Fe II
7381.942,1,N I
7382.614,O,Fe I
7385.244,3,N I
7385.51,-3N,Fe I
7386.336,7,Fe I
7387.7,9N,Mg I
7389.391,1,Fe I
7392.13,-2,S II
7393.609,7,Ni I
7396.526,-1,Fe I
7398.76,-3N,Fe I
7400.188,5,Cr I
7401.134,-2,N I
7401.691,a,Fe I
7405.79,7N,Si I
7409.1,1,Si I
7409.352,6,Ni I
7411.162,8,Fe I
7414.514,5,N I
7415.363,2N,S I
7415.958,8N,Si I
7417.06,-3,Ti I
7417.39,-1N,Co I
7418.672,4,Fe I
7419.31,-3N,N I
7420.241,-3,Fe I
7422.386,7,Ni I
7423.509,8N,Si I
7424.647,ON,S I
7430.553,-1,Fe I
7431.19,-3N,S II
7431.56,o,Fe I
7431.97,-3N,Ti I
7433.16,-3,Ti I
7435.95,-3,01
7440.58,-3,Ti I
7440.919,4,Fe I
7442.33,-3N,N I
7443.026,2,Fe I
7445.758,9,Fe I
7447.4,2,Fe I
7449.338,0,Fe II
7450.33,-3NN,Y II
7452.11,-1,Fe I
7452.96,-3N,Sa II
7454.004,0,Fe I
7455.389,-1,S I
7460.25,-3,Fe I
