wavelength,ew,id
3373.653,39.0,Cr I
3401.53,,Fe I
3402.42,,Ti II
3404.31,,Fe I
3405.126,,Co I
3406.81,,Fe I
3407.51,,Fe I
3408.779,,Cr II
3409.579,,Ni I
3412.349,,Co I
3413.143,,Fe I
3413.947,,Ni I
3414.779,,Ni I
3417.169,,Co I
3417.85,,Co I
3418.522,,Fe I
3421.221,,Cr II
3422.496,,Fe I
3422.769,,Cr II
3423.715,,Ni I
3424.299,,Fe I
3426.37,,Fe I
3426.992,,Fe I
3428.207,,Fe I
3428.45,,Ni I
3431.586,,Co I
3431.83,,Fe I
3432.728,,Nb II
3433.048,,Co I
3433.318,,Cr II
3436.196,,Cr I
3437.054,,Fe I
3437.291,,Ni I
3438.28,,Zr II
3438.99,,Mn II
3439.805,,Gd II
3440.626,,Fe I
3441.019,,Fe I
3441.982,,Mn II
3443.381,,Ti II
3443.884,,Fe I
3444.3,,Ti II
3445.125,,Fe I
3446.271,,Ni I
3447.285,,Fe I
3449.175,,Co I
3449.448,,Co I
3451.922,,Fe I
3452.284,,Fe I
3452.905,,Ni I
3453.512,,Co I
3455.245,,Cr I
3456.394,,Ti II
3458.467,,Ni I
3459.918,,Fe I
3460.326,,Mn II
3461.499,,Ti II
3464.474,,Sr II
3465.88,,Fe I
3467.509,,Ni I
3468.686,,Fe II
3469.493,,Ni I
3471.31,,Fe I
3472.558,,Ni I
3474.06,,Mn II
3475.133,,Cr II
3475.457,,Fe I
3476.712,,Fe I
3477.186,,Ti II
3479.923,,Fe II
3480.886,,Ti II
3481.78,,Gd II
3482.574,,Cr II
3482.909,,Mn II
3483.414,,Co I
3483.784,,Ni I
3487.992,,Fe II
3488.678,,Mn II
3489.163,,Fe II
3489.407,,Co I
3490.594,,Fe I
3491.056,,Ti II
3492.975,826.0,Ni I
3493.695,53.0,Fe I
3494.169,53.0,Fe I
3494.676,94.0,Fe II
3495.245,116.0,Fe I
3495.663,138.0,Fe II
3495.835,141.0,Fe I
3496.681,101.0,Co I
3496.813,77.0,Mn II
3497.529,59.0,Mn II
3497.843,726.0,Fe I
3498.749,42.0,Fe I
3498.945,31.0,Ru I
3499.572,26.0,Zr I
3500.157,39.0,Ti II
3500.335,90.0,Ti II
3500.857,163.0,Ni I
3501.729,84.0,Co I
3501.965,18.0,Mo I
3502.291,111.0,Co I
3502.862,28.0,Fe I
3503.473,50.0,Fe II
3504.442,65.0,V II
3505.063,94.0,Fe I
3505.671,53.0,Zr I
3506.241,45.0,Co I
3506.328,140.0,Co I
3506.841,46.0,Dy I
3507.698,80.0,Ni I
3508.211,48.0,Fe I
3508.487,105.0,Fe I
3509.125,69.0,Fe I
3509.731,41.0,Co I
3509.853,105.0,Co I
3510.327,489.0,Ni I
3510.846,87.0,Ti II
3511.744,41.0,Cr II
3511.839,90.0,Cr II
3512.646,132.0,Co I
3513.06,97.0,Cr I
3513.483,98.0,Co I
3513.825,307.0,Fe I
3514.635,56.0,Fe I
3515.066,718.0,Ni I
3515.409,18.0,Fe I
3516.219,55.0,N I
3517.033,16.0,Ni I
3517.306,79.0,V I
3518.22,15.0,Co I
3518.685,96.0,Fe I
3518.874,67.0,Fe I
3519.618,7.5,Ni I
3519.764,171.0,Ni I
3520.257,75.0,T I
3520.851,47.0,Fe I
3521.27,381.0,Fe I
3521.844,72.0,V I
3522.272,61.0,Fe I
3522.908,58.0,Fe I
3523.444,96.0,N I
3524.244,100.0,Fe I
3524.536,1271.0,Ni I
3526.17,422.0,Fe I
3526.385,108.0,Fe I
3526.847,209.0,Co I
3527.531,18.0,Nd I
3527.795,107.0,Fe I
3528.324,12.0,Fe I
3529.04,76.0,Co I
3529.521,68.0,Fe I
3529.823,148.0,Fe I
3530.391,92.0,Fe I
3530.777,75.0,V I
3531.44,60.0,Fe I
3532.12,101.0,Mn I
3532.579,76.0,Fe I
3533.203,223.0,Fe I
3533.364,72.0,Fe I
3533.858,43.0,T I
3534.53,44.0,Fe I
3534.918,66.0,Fe I
3535.412,79.0,Ti II
3536.023,23.0,Dy I
3536.567,189.0,Fe I
3537.243,40.0,Cr I
3537.737,83.0,Fe I
3537.903,107.0,Fe I
3538.559,63.0,Fe I
3538.795,29.0,Fe I
3539.371,3.0,Fe I
3540.126,93.0,Fe I
3540.715,95.0,Fe I
3541.095,214.0,Fe I
3541.332,16.0,V I
3542.09,224.0,Fe I
3542.571,60.0,Fe I
3543.001,16.0,Co I
3543.682,61.0,Fe I
3543.933,5.0,Rh I
3544.634,57.0,Fe I
3545.194,73.0,V I
3545.644,108.0,Fe I
3545.829,72.0,Fe I
3546.709,13.0,Co I
3547.199,100.0,Fe I
3547.67,28.0,Mn I
3548.19,139.0,Mn I
3548.451,38.0,Co I
3549.009,54.0,Y I
3549.371,26.0,Gd I
3549.872,84.0,Fe I
3550.599,87.0,Co I
3551.112,53.0,Fe I
3551.533,94.0,N I
3552.112,70.0,Fe I
3552.725,55.0,Fe I
3552.845,120.0,Fe I
3553.746,116.0,Fe I
3554.122,127.0,Fe I
3554.51,86.0,Fe I
3554.937,404.0,Fe I
3555.724,12.0,Fe I
3555.947,16.0,Co I
3556.689,95.0,V II
3556.896,243.0,Fe I
3558.072,30.0,Fe I
3558.532,485.0,Sc II
3559.079,41.0,Fe I
3559.464,,~Fe I
3559.923,48.0,N I
3560.704,75.0,V II
3560.897,82.0,Co I
3561.582,58.0,Ti II
3561.757,77.0,Ni I
3562.27,40.0,Fe I
3562.926,37.0,Co I
3563.611,23.0,Fe I
3564.126,71.0,Fe I
3564.565,71.0,Fe I
3564.959,70.0,Co I
3565.396,990.0,Fe I
3566.175,53.0,V I
3566.383,458.0,Ni I
3567.042,82.0,Fe I
3567.696,110.0,Fe I
3568.248,28.0,Sm I
3568.448,70.0,Fe I
3568.983,82.0,Fe I
3569.384,116.0,Co I
3570.134,1380.0,Fe I
3570.276,42.0,Fe I
3571.233,60.0,Fe I
3571.875,237.0,Ni I
3572.573,112.0,Sc II
3573.067,40.0,Fe I
3573.735,84.0,Ti II
3573.836,156.0,Ti II
3574.253,45.0,T I
3574.967,90.0,Co I
3575.374,115.0,Co I
3575.994,90.0,Fe I
3576.329,116.0,Sc II
3576.766,87.0,Ni II
3577.465,47.0,Ce I
3577.875,105.0,Mn I
3578.693,488.0,Cr I
3579.045,14.0,Co I
3579.835,34.0,Fe I
3580.412,20.0,Fe I
3581.209,2144.0,Fe I
3581.665,36.0,Fe I
3582.205,64.0,Fe I
3582.698,72.0,Fe I
3582.877,19.0,Fe I
3583.339,122.0,Fe I
3583.911,96.0,Fe I
3584.661,182.0,Fe I
3584.965,78.0,Fe I
3585.339,839.0,Cr II
3586.118,122.0,Fe I
3586.544,74.0,Mn I
3586.99,532.0,Fe I
3587.429,54.0,Fe I?
3587.943,129.0,Zr II
3588.534,161.0,Fe I
3589.112,104.0,Fe I
3589.632,108.0,Sc II
3589.767,102.0,V II
3590.489,136.0,Sc II
3591.008,44.0,Fe I
3591.488,60.0,Fe I
3592.027,75.0,V II
3592.678,79.0,Fe I
3592.899,48.0,Fe I
3593.34,88.0,Cr I
3593.997,40.0,Ca I
3594.638,146.0,Fe I
3594.876,92.0,Co I
3595.308,74.0,Fe I
3596.054,95.0,Ti II
3596.509,22.0,Co I
3597.047,86.0,Fe I
3597.712,181.0,Ni I
3598.182,8.0,Ce I
3598.72,60.0,Ti I
3598.986,87.0,Fe I
3599.544,18.0,N I
3599.97,58.0,Fe I
3600.739,69.0,Y I
3601.198,13.0,Zr I
3601.664,51.0,Cr I
3601.922,57.0,Co I
3602.544,172.0,Fe I
3603.21,119.0,Fe I
3603.578,106.0,Fe I
3603.95,43.0,Cr II
3604.378,75.0,Fe I
3605.201,26.0,Cr I
3605.339,495.0,Cr I
3605.916,75.0,Fe I
3606.694,271.0,Fe I
3606.854,18.0,Fe I
3607.533,66.0,Mn I
3608.155,82.0,Fe I
3608.491,38.0,Mn I
3608.869,1046.0,Fe I
3609.328,69.0,N I
3610.166,231.0,Fe I
3610.46,250.0,~Ti I
3611.05,80.0,Y I
3611.723,61.0,Co I
3612.075,118.0,Fe I
3612.744,160.0,Ni I
3613.109,139.0,Zr II
3613.449,86.0,Fe I
3613.809,194.0,Sc II
3614.561,98.0,Fe I
3614.891,28.0,Fe I
3615.665,71.0,Cr I
3615.962,37.0,Fe I
3616.57,92.0,Fe I
3617.011,36.0,Fe I
3617.321,82.0,Fe I
3617.796,124.0,Fe I
3618.304,110.0,Fe I
3618.777,1410.0,Fe I
3619.4,568.0,Ni I
3620.247,51.0,Fe I
3620.468,76.0,Fe I
3621.201,72.0,V II
3621.467,140.0,Fe I
3622.009,127.0,Fe I
3622.555,3.5,Eu I
3623.192,105.0,Fe I
3623.45,97.0,Fe I
3624.118,139.0,Ca I
3624.733,132.0,Ni I
3624.839,122.0,Ni I
3625.501,49.0,Fe I
3626.187,50.0,Fe I
3627.061,56.0,Fe I
3627.623,40.0,Co I
3627.813,98.0,Co I
3628.707,57.0,Y II
3628.828,64.0,Y II
3629.737,48.0,Mn I
3629.905,47.0,N I
3630.355,84.0,Fe I
3630.754,133.0,Ca I
3631.475,1364.0,Fe I
3632.049,117.0,Fe I
3632.56,72.0,Fe I
3633.076,134.0,Fe I
3633.512,47.0,Zr I
3633.835,92.0,Fe I
3634.332,136.0,Fe I
3634.952,129.0,N I
3635.469,97.0,T I
3636.238,132.0,Fe I
3636.485,92.0,Zr I
3637.058,112.0,Fe I
3637.255,68.0,Fe I
3637.873,93.0,Fe I
3638.304,153.0,Fe I
3639.03,34.0,V I
3639.45,69.0,Co I
3639.804,76.0,Cr I
3640.394,132.0,Fe I
3641.228,11.0,Ti II
3641.335,109.0,Ti II
3641.792,72.0,Co I
3642.682,93.0,Sc II
3642.806,150.0,Sc II
3643.627,113.0,Fe I
3643.811,81.0,Fe I
3644.417,141.0,Ca I
3645.082,97.0,Fe I
3645.313,132.0,Sc II
3645.827,103.0,Fe I
3646.504,23.0,CH
3646.988,58.0,Ce I
3647.428,94.0,Fe I
3647.851,970.0,Fe I
3648.53,23.0,Cr I
3648.998,52.0,Cr I
3649.511,134.0,Fe I
3650.037,115.0,Fe I
3650.285,115.0,Fe I
3651.197,31.0,Nb I
3651.474,136.0,Fe I
3651.8,114.0,Cr I
3652.551,70.0,Co I
3653.12,7.5,Ce I
3653.501,98.0,T I
3653.912,102.0,Cr I
3654.598,64.0,T I
3655.003,50.0,Fe I
3655.472,88.0,Fe I
3655.851,15.0,Ce I
3656.265,116.0,Cr I
3657.137,72.0,Fe I
3657.711,57.0,N I
3658.099,71.0,T I
3658.274,4.5,V I
3659.234,10.0,Ce I
3659.524,98.0,Fe I
3659.762,103.0,T I
3660.329,60.0,Fe I
3661.038,28.0,CH
3661.372,64.0,Sm I
3662.24,94.0,Ti II
3662.364,17.0,Ti II
3663.2,100.0,Cr I
3663.598,10.0,V I
3664.097,130.0,N I
3664.54,103.0,Fe I
3665.028,37.0,CH
3665.437,9.5,Cr I
3666.064,105.0,Fe I
3666.539,83.0,Sc I
3666.931,92.0,Fe I
3667.261,103.0,Fe I
3667.996,89.0,Fe I
3668.46,53.0,Zr I
3669.244,103.0,N I
3669.526,120.0,Fe I
