wavelength,ew,id
3373.653,39,Cr I
3401.530,,Fe I
3402.420,,Ti II
3404.310,,Mo I
3405.126,,Co I
3406.810,,Fe I
3407.510,,Fe I
3408.779,,Cr II
3409.579,,Ni I
3412.349,,Co I
3413.143,,Fe I
3413.947,,Ni I
3414.779,,Ni I
3417.169,,Co I
3417.850,,Co I
3418.522,,Fe I
3421.221,,Cr II
3422.496,,Fe I
3422.769,,Cr II
3423.715,,Ni I
3424.299,,Fe I
3426.370,,Fe I
3426.992,,Fe I
3428.207,,Fe I
3428.450,,Ni I
3431.586,,Co I
3431.830,,Fe I
3432.728,,Nb II
3433.048,,Co I
3433.318,,Cr II
3436.196,,Cr I
3437.054,,Fe I
3437.291,,Ni I
3438.280,,Zr II
3438.990,,Mn II
3439.805,,Gd II
3440.626,,Fe I
3441.019,,Fe I
3441.982,,Mn II
3443.381,,Ti II
3443.884,,Fe I
3444.300,,Ti II
3445.125,,Fe I
3446.271,,Ni I
3447.285,,Fe I
3449.175,,Co I
3449.448,,Co I
3451.922,,Fe I
3452.284,,Fe I
3452.905,,Ni I
3453.512,,Co I
3455.245,,Co I
3456.394,,Ti II
3458.467,,Ni I
3459.918,,Fe I
3460.326,,Mn II
3461.499,,Ti II
3464.474,,Sr II
3465.880,,Fe I
3467.509,,Ni I
3468.686,,Fe II
3469.493,,Ni I
3471.310,,Fe I
3472.558,,Ni I
3474.060,,Mn II
3475.133,,Cr II
3475.457,,Fe I
3476.712,,Fe I
3477.186,,Ti II
3479.923,,Fe II
3480.886,,Ti II
3481.780,,Gd II
3482.574,,Cr II
3482.909,,Mn II
3483.414,,Co I
3483.784,,Ni I
3487.992,,Fe II
3488.678,,Mn II
3489.163,,Fe II
3489.407,,Co I
3490.594,,Fe I
3491.056,,Ti II
3492.975,826,Ni I
3493.695,53,Fe I
3494.169,53,Fe I
3494.676,94,Fe II
3495.245,116,Fe I
3495.663,138,Co I
3495.835,141,Mn II
3496.681,101,Co I
3496.813,77,Mn II
3497.529,59,Mn II
3497.843,726,Fe I
3498.749,42,Fe I
3498.945,31,Ru I
3499.572,26,Zr II
3500.157,39,Fe I
3500.335,90,Ti II
3500.857,163,Ni I
3501.729,84,Co II
3501.965,18,Mo II
3502.291,111,Co I
3502.862,28,Fe I
3503.473,50,Fe II
3504.442,65,V II
3505.063,94,Fe I
3505.671,53,Zr II
3506.241,45,Fe I
3506.328,140,Co I
3506.841,46,Dy II
3507.698,80,Ni I
3508.211,48,Fe II
3508.487,105,Fe I
3509.125,69,Fe I
3509.731,41,Fe I
3509.853,105,Co I
3510.327,489,Ni I
3510.846,87,Ti II
3511.744,41,Fe I
3511.839,90,Cr II
3512.646,132,Co I
3513.060,97,Cr II
3513.483,98,Co I
3513.825,307,Fe I
3514.635,56,Fe I
3515.066,718,Ni I
3515.409,18,Fe I
3516.219,55,Ni I
3517.033,16,Ni I
3517.306,79,V II
3518.220,15,Fe I
3518.685,96,Fe I
3518.874,67,Fe I
3519.618,7.5,Zr I
3519.764,171,Ni I
3520.257,75,Ti II
3520.851,47,Fe I
3521.270,381,Fe I
3521.844,72,V II
3522.272,61,Fe I
3522.908,58,Fe I
3523.444,96,Ni I
3524.244,100,Fe I
3524.536,1271,Ni I
3526.170,422,Fe I
3526.385,108,Fe I
3526.847,209,Co I
3527.531,18,Nd II
3527.795,107,Fe I
3528.324,12,Fe I
3529.040,76,Co I
3529.521,68,Fe I
3529.823,148,Fe I
3530.391,92,Fe I
3530.777,75,V II
3531.440,60,Fe I
3532.120,101,Mn I
3532.579,76,Fe I
3533.203,223,Fe I
3533.364,72,Co I
3533.858,43,Ti II
3534.530,44,Fe I
3534.918,66,Fe I
3535.412,79,Ti II
3536.023,23,Dy II
3536.567,189,Fe I
3537.243,40,Cr I
3537.737,83,Fe I
3537.903,107,Fe I
3538.559,63,Fe I
3538.795,29,Fe I
3539.371,3,Fe I
3540.126,93,Fe I
3540.715,95,Fe I
3541.095,214,Fe I
3541.332,16,V II
3542.090,224,Fe I
3542.571,60,Fe I
3543.001,16,Co I
3543.682,61,Fe I
3543.933,5,Rh I
3544.634,57,Fe I
3545.194,73,V II
3545.644,108,Fe I
3545.829,72,Fe I
3546.709,13,Co I
3547.199,100,Fe I
3547.670,28,Zr I
3548.190,139,Ni I 
3548.451,38,Co I
3549.009,54,Y II
3549.371,26,Gd II
3549.872,84,Fe I
3550.599,87,Co I
3551.112,53,Fe I
3551.533,94,Ni I
3552.112,70,Fe I
3552.725,55,Co I
3552.845,120,Fe I
3553.746,116,Fe I
3554.122,127,Fe I
3554.510,86,Fe I
3554.937,404,Fe I
3555.724,12,Fe I
3555.947,16,Co II
3556.689,95,Fe I
3556.896,243,Fe I
3558.072,30,Fe I
3558.532,485,Fe I 
3559.079,41,Fe I
3559.464,,Fe I
3559.923,48,Ni I
3560.704,75,Fe I
3560.897,82,Co I
3561.582,58,Ti II
3561.757,77,Ni I
3562.270,40,Fe I
3562.926,37,Co I
3563.611,23,Fe I
3564.126,71,Fe I
3564.565,71,Fe I
3564.959,70,Co I
3565.396,990,Fe I
3566.175,53,V II
3566.383,458,Ni I
3567.042,82,Fe I
3567.696,110,Sc II
3568.248,28,Sm II
3568.448,70,Fe I
3568.983,82,Fe I
3569.384,116,Co I
3570.134,1380,Fe I
3570.276,42,Fe I
3571.233,60,Fe I
3571.875,237,Ni I
3572.573,112,Sc II
3573.067,40,Fe I
3573.735,84,Ti II
3573.836,156,Fe I
3574.253,45,Ti I 
3574.967,90,Co I
3575.374,115,Co I
3575.994,90,Fe I
3576.329,116,Sc II
3576.766,87,Fe I
3577.465,47,Ce II
3577.875,105,Mn I
3578.693,488,Cr I
3579.045,14,Co I
3579.835,34,Fe I
3580.412,20,Fe I
3581.209,2144,Fe I
3581.665,36,Fe I
3582.205,64,Fe I
3582.698,72,Fe I
3582.877,19,Fe I
3583.339,122,Fe I 
