wav,id,ew
1.0,CH,80.0
3373.653,Cr I,39.0
3401.53,Fe I,
3402.42,Ti II,
3404.31,Fe I,
3405.126,Co I,
3406.81,Fe I,
3407.205,Ti II,
3407.51,Fe I,
3408.779,Cr II,
3409.18,Co I,
3409.579,Ni I,
3412.349,Co I,
3413.143,Fe I,
3413.947,Ni I,
3414.779,Ni I,
3417.169,Co I,
3417.85,Co I,
3418.522,Fe I,
3421.221,Cr II,
3422.496,Fe I,
3422.769,Cr II,
3423.715,Ni I,
3424.299,Fe I,
3426.37,Fe I,
3426.65,Fe I,
3426.992,Fe I,
3427.129,Fe I,
3428.207,Fe I,
3428.45,Ni I,
3431.586,Co I,
3431.83,Fe I,
3432.728,Nb II,
3433.048,Co I,
3433.318,Cr II,
3433.579,Ni I,
3436.196,Cr I,
3437.054,Fe I,
3437.291,Ni I,
3438.28,Zr II,
3438.99,Mn II,
3439.805,Gd II,
3440.626,Fe I,
3441.019,Fe I,
3441.982,Mn II,
3443.381,Ti II,
3443.655,Co I,
3443.884,Fe I,
3444.3,Ti II,
3445.125,Fe I,
3446.271,Ni I,
3447.285,Fe I,
3449.175,Co I,
3449.448,Co I,
3451.922,Fe I,
3452.284,Fe I,
3452.475,Ti II,
3452.905,Ni I,
3453.512,Co I,
3455.245,Cr I,
3456.394,Ti II,
3458.467,Ni I,
3459.918,Fe I,
3460.04,Mn II,
3460.326,Mn II,
3461.499,Ti II,
3461.667,Ni I,
3464.474,Sr II,
3465.88,Fe I,
3467.509,Ni I,
3468.686,Fe II,
3469.493,Ni I,
3471.31,Fe I,
3472.558,Ni I,
3474.06,Mn II,
3474.15,Mn II,
3475.133,Cr II,
3475.457,Fe I,
3475.665,Fe I,
3476.712,Fe I,
3477.186,Ti II,
3479.923,Fe II,
3480.886,Ti II,
3481.164,Zr II,
3481.78,Gd II,
3482.574,Cr II,
3482.909,Mn II,
3483.017,Fe I,
3483.414,Co I,
3483.784,Ni I,
3487.992,Fe II,
3488.678,Mn II,
3489.163,Fe II,
3489.407,Co I,
3489.72,Fe I,
3490.594,Fe I,
3491.056,Ti II,
3492.975,Ni I,826.0
3493.174,Ni I,21.0
3493.291,Fe I,47.0
3493.582,Fe I,28.0
3493.695,Fe I,53.0
3493.865,Fe I,21.0
3494.169,Fe I,53.0
3494.262,Fe I,7.0
3494.515,Fe II,46.0
3494.676,Fe II,94.0
3494.732,Fe II,14.0
3495.039,Cr I,6.5
3495.245,Fe I,116.0
3495.383,Cr II,61.0
3495.519,Cr II,30.0
3495.663,Co I,138.0
3495.835,Fe I,141.0
3496.085,Y II,48.0
3496.209,Fe I,96.0
3496.352,Fe I,64.0
3496.582,Co I,49.0
3496.681,Co I,101.0
3496.813,Mn II,77.0
3497.282,~Fe I,8.5
3497.529,Mn II,59.0
3497.843,Fe I,726.0
3498.183,Fe I,49.0
3498.749,Fe I,42.0
3498.945,Ru I,31.0
3499.109,T I,31.0
3499.269,Fe I,21.0
3499.572,Zr I,26.0
3500.157,Ti II,39.0
3500.335,Ti II,90.0
3500.567,Co II,86.0
3500.857,Ni I,163.0
3501.333,Zr I,10.0
3501.466,Ce I,12.0
3501.729,Co I,84.0
3501.965,Mo I,18.0
3502.291,Co I,111.0
3502.598,Ni I,111.0
3502.862,Fe I,28.0
3503.473,Fe II,50.0
3503.727,Co I,22.0
3504.442,V II,65.0
3505.063,Fe I,94.0
3505.149,Co I,7.0
3505.232,Hf I,24.0
3505.489,Zr I,51.0
3505.671,Zr I,53.0
3505.899,T I,38.0
3506.05,Zr I,28.0
3506.241,Co I,45.0
3506.328,Co I,140.0
3506.506,Fe I,132.0
3506.841,Dy I,46.0
3507.308,Rh I,10.0
3507.404,Fe I,50.0
3507.548,Ni I,13.0
3507.698,Ni I,80.0
3507.818,Ni I,17.0
3508.095,Cr I,11.0
3508.211,Fe I,48.0
3508.487,Fe I,105.0
3509.018,V I,14.0
3509.125,Fe I,69.0
3509.331,Zr I,18.0
3509.731,Co I,41.0
3509.853,Co I,105.0
3510.192,Ni I,22.0
3510.327,Ni I,489.0
3510.457,Ni I,25.0
3510.685,Ti II,33.0
3510.846,Ti II,87.0
3511.217,Sm I,11.0
3511.537,Zr I,16.0
3511.624,N I,31.0
3511.744,Cr II,41.0
3511.839,Cr II,90.0
3511.927,Cr II,27.0
3512.089,Fe I,71.0
3512.23,Fe I,70.0
3512.5,Co I,9.0
3512.646,Co I,132.0
3512.73,Co I,27.0
3512.811,Co I,24.0
3512.96,Fe I,50.0
3513.06,Cr I,97.0
3513.483,Co I,98.0
3513.604,Fe I,20.0
3513.825,Fe I,307.0
3514.242,Co I,10.0
3514.468,Fe I,47.0
3514.635,Fe I,56.0
3515.066,Ni I,718.0
3515.409,Fe I,18.0
3515.535,Fe I,17.0
3515.807,Fe I,3.0
3516.016,V I,7.0
3516.219,N I,55.0
3517.033,Ni I,16.0
3517.306,V I,79.0
3517.383,Ce I,10.0
3517.513,Co I,16.0
3518.22,Co I,15.0
3518.348,Co I,93.0
3518.685,Fe I,96.0
3518.874,Fe I,67.0
3519.099,Ce I,18.0
3519.505,Fe I,3.5
3519.618,Ni I,7.5
3519.764,Ni I,171.0
3520.088,Co I,114.0
3520.257,T I,75.0
3520.535,V II,13.0
3520.851,Fe I,47.0
3521.27,Fe I,381.0
3521.546,Co I,109.0
3521.748,Co I,18.0
3521.844,V I,72.0
3522.044,Fe I,6.5
3522.272,Fe I,61.0
3522.834,Co I,20.0
3522.908,Fe I,58.0
3523.072,N I,43.0
3523.312,Fe I,55.0
3523.444,N I,96.0
3523.71,Co I,21.0
3523.99,Dy I,4.0
3524.081,Fe I,63.0
